cluster,keyword,scope,volume_db,gsc_impressions,gsc_clicks,gsc_avg_pos,tracked_pos,best_pos,aio_on_serp,status,landing_or_target,peak_month,action
A Where-now & map,condicions bolets catalunya,ca,0,4,0,2.5,1,1,True,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
A Where-now & map,trobar bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,sortida bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,previsió de bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,previsió bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,predicció de bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar tòfones,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar trompetes de la mort,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar ous de reig,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar múrgoles,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar llenegues,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar fredolics,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on trobar camagrocs,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,on hi ha bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,mapa de ceps,ca,0,1,0,2,,2,False,owned (1-3),"/bolets-avui, / , /map",,"Defend: answer-first block, freshness, AIO citation check"
A Where-now & map,mapa de bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,mapa ceps,ca,0,1,1,3,,3,False,owned (1-3),"/bolets-avui, / , /map",,"Defend: answer-first block, freshness, AIO citation check"
A Where-now & map,mapa bolets,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,mapa boletaire setmanal,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,mapa boletaire,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,hi ha bolets ara,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,boletaire,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,ceps mapa,ca,,1,1,2,,2,False,owned (1-3),"/bolets-avui, / , /map",,"Defend: answer-first block, freshness, AIO citation check"
A Where-now & map,on trobar bolets aquesta setmana 2025,ca,,1,0,75,,75,False,buried (>50),"/bolets-avui, / , /map",,New/rebuilt page
A Where-now & map,rutes bolets catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,millors zones bolets catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,millors llocs bolets catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,mapa de bolets de catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,boscos bolets catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
A Where-now & map,zones boletaires catalunya,ca,0,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",,Create page (or add to tracking if page exists)
B Castilian bridge,rovellons en castellano,ca,590,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,02,Create page (or add to tracking if page exists)
B Castilian bridge,moixernó en castellano,ca,590,2,0,82,,82,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,07,New/rebuilt page
B Castilian bridge,moixernons en castellano,ca,590,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,07,Create page (or add to tracking if page exists)
B Castilian bridge,setas en catalan,ca,390,3,0,41.7,,41.7,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Rework: dedicated page or template upgrade
B Castilian bridge,seta en catalan,ca,390,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,rovello en castellano,ca,320,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,donde hay setas ahora en cataluña,ca,320,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,ceps setas,ca,320,6,0,86.3,,86.3,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,cep seta,ca,320,4,0,62.8,,62.8,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,setas en cataluña,ca,260,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,setas catalunya,ca,260,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,rusiñol seta,ca,260,1,0,80,,80,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,rebozuelo en catalan,ca,260,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,02,Create page (or add to tracking if page exists)
B Castilian bridge,fredolics en castellano,ca,260,1,0,66,,66,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,fredolic en castellano,ca,260,2,0,59,,59,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,rossinyol en castellano,ca,210,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,niscalo en catalan,ca,210,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,fredolic venenoso,ca,210,1,0,33,,33,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Rework: dedicated page or template upgrade
B Castilian bridge,colmenillas en catalan,ca,210,1,0,67,,67,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,New/rebuilt page
B Castilian bridge,boletus toxicos,es-wide,210,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,bolets en castellano,ca,210,6,0,6.8,,6.8,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,boletaire en castellano,ca,210,4,0,20,,20,False,striking (11-20),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,"Refresh page: title/H1 match, add section, links from hubs"
B Castilian bridge,seta camagroc,ca,170,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,llanega en castellano,ca,170,1,0,89,,89,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,capuchina seta,es-wide,170,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,trufa en catalan,ca,140,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,04,Create page (or add to tracking if page exists)
B Castilian bridge,setas comestibles en cataluña,ca,140,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,setas comestibles cataluña,ca,140,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,setas camagroc,ca,140,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,rossinyols en castellano,ca,140,1,0,42,,42,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Rework: dedicated page or template upgrade
B Castilian bridge,pie violeta,es-wide,140,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,pie de rata,es-wide,140,9,0,63.6,,63.6,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,apagallums seta,ca,140,1,0,76,,76,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,New/rebuilt page
B Castilian bridge,seta rusiñol,ca,110,2,0,80,,80,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,seta negrilla toxica,es-wide,110,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,ous de reig en castellano,ca,110,67,0,67.6,43,43,False,weak (21-50),/bolets/amanita-caesarea,10,Rework: dedicated page or template upgrade
B Castilian bridge,ou de reig en castellano,ca,110,95,0,41.5,36,36,False,weak (21-50),/bolets/ou-de-reig,10,Rework: dedicated page or template upgrade
B Castilian bridge,fredolic seta,ca,110,3,0,64.3,,64.3,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,camagrocs setas,ca,110,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,camagroc venenoso,ca,110,3,0,44.7,,44.7,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,Rework: dedicated page or template upgrade
B Castilian bridge,camagroc seta,ca,110,1,0,62,,62,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,bolet en castellano,ca,110,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,07,Create page (or add to tracking if page exists)
B Castilian bridge,ceps catalán,ca,0,103,0,22.8,15,15,False,striking (11-20),/zones/ceps,,"Refresh page: title/H1 match, add section, links from hubs"
B Castilian bridge,setas fredolics,ca,90,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,llanega venenosa,ca,90,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,01,Create page (or add to tracking if page exists)
B Castilian bridge,llanega blanca y negra,ca,90,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,bolet cep en castellano,ca,90,1,0,22,,22,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,Rework: dedicated page or template upgrade
B Castilian bridge,seta pie violeta,ca,70,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,seta apagallums,ca,70,1,0,58,,58,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,mapa de setas en cataluña,ca,70,1,0,82,,82,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,boletus en catalan,ca,70,9,0,17.2,,17.2,False,striking (11-20),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,"Refresh page: title/H1 match, add section, links from hubs"
B Castilian bridge,bolets venenosos,ca,40,76,1,15.7,9,9,False,page 1 (4-10),/bolets-verinosos,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,setas comestibles cataluña fotos,ca,50,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,que son los ceps,ca,50,1,0,63,,63,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,pinatell seta,ca,50,1,0,46,,46,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Rework: dedicated page or template upgrade
B Castilian bridge,murgoles en castellano,ca,50,2,0,77.5,,77.5,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,06,New/rebuilt page
B Castilian bridge,mapa de setas cataluña,ca,50,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,llanegas negras,ca,50,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,tipos de setas en cataluña,ca,40,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,setas de cataluña,ca,40,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,seta llanega negra,ca,40,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,setas venenosas cataluña,ca,30,3,0,57.7,,57.7,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,New/rebuilt page
B Castilian bridge,donde buscar setas en cataluña,ca,30,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,donde buscar setas en el montseny,ca,20,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,cep bolet en castellano,ca,20,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,ceps en catalan,ca,,14,0,9.6,,9.6,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,tipos de setas cataluña,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,seta pie de rata comestible,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,nombres de setas en catalán,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,donde buscar setas en girona,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,ceps en castellano,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,10,Create page (or add to tracking if page exists)
B Castilian bridge,camagrocs en castellano,ca,10,1,0,62,,62,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,New/rebuilt page
B Castilian bridge,camagroc en castellano,ca,10,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,12,Create page (or add to tracking if page exists)
B Castilian bridge,bolet rossinyol en castellano,ca,,10,0,17.9,,17.9,False,striking (11-20),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Refresh page: title/H1 match, add section, links from hubs"
B Castilian bridge,carlet seta,ca,,6,0,47.2,,47.2,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,gírgoles en castellà,ca,,4,0,8.5,,8.5,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,rovellons en castella,ca,,4,0,26.5,,26.5,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,seta fredolic,ca,,4,0,68.5,,68.5,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,cep bolet en castellà,ca,,3,0,9.3,,9.3,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,cama seca seta,ca,,2,0,85,,85,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,penellons en castellano,ca,,2,0,60.5,,60.5,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,que es ceps en catalan,ca,,2,0,9.5,,9.5,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,seta carlet,ca,,2,0,50.5,,50.5,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,setas ceps,ca,,2,0,88.5,,88.5,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,temporada de setas cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,temporada de setas 2026,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas pirineos,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas pirineo catalan,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas montseny,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas de primavera cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas de otoño cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,setas cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,robellones cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,nombres de setas en catalan y castellano,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,niscalos cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,mapa setas,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,llenega en castellano,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,guía de setas cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,donde salen setas ahora,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,donde encontrar niscalos en cataluña,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,donde buscar setas en lleida,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,donde buscar setas en barcelona,ca,0,0,0,,,,False,not ranking / untracked,NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Create page (or add to tracking if page exists)
B Castilian bridge,buscar setas,ca,,1,0,1,,1,False,owned (1-3),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Defend: answer-first block, freshness, AIO citation check"
B Castilian bridge,cep en castellano,ca,,1,0,31,,31,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,cep seta en castellano,ca,,1,0,75,,75,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
