competitor,source_name,source_scientific_name,comparison_name,our_status,our_species_id,priority,evidence_kind,source_url,local_mentions,notes
boletaires.cat,"Pinetell de calceta, Molleric de calceta",Suillus luteus,Suillus luteus,covered,suillus-luteus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:552; data/species-gallery-media.ts:562; data/species-media.ts:290; data/species.ts:290; data/species.ts:666,
boletaires.cat,"Cama de perdiu, Cabrit",Chroogomphus rutilus,Chroogomphus rutilus,covered,chroogomphus-rutilus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:574; data/species-gallery-media.ts:584; data/species-media.ts:302; data/species.ts:674; data/species.ts:1062,
boletaires.cat,"Verderol, Groguet",Tricholoma equestre,Tricholoma equestre,missing,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Bola de neu pudent, Xampinyó pudent",Agaricus xanthodermus,Agaricus xanthodermus,mentioned-only,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/culinary-profiles.ts:315; data/species.ts:745,
boletaires.cat,"Pentinella rosada, Carlet",Hygrophorus russula,Hygrophorus russula,covered,hygrophorus-russula,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:486; data/species-gallery-media.ts:496; data/species-media.ts:254; data/species.ts:629; data/species.ts:634; data/species.ts:642; data/species.ts:1295,
boletaires.cat,"Fetge de vaca, Llengua de bou vermellosa",Fistulina hepatica,Fistulina hepatica,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Verderol anisat, Anisada",Clitocybe odora,Clitocybe odora,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,Fetjó,Rhizopogon roseolus,Rhizopogon roseolus,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Apagallums de cama blanca, Paloma petita",Chlorophyllum brunneum,Chlorophyllum brunneum,mentioned-only,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species.ts:252,Do not import the competitor synonym list blindly: its rhacodes mapping needs separate taxonomic review.
boletaires.cat,"Rovelló de cabra, Pinetell bord",Lactarius chrysorrheus,Lactarius chrysorrheus,missing,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Cortinari metzinós, Cortinari rutilant",Cortinarius orellanus,Cortinarius orellanus,covered,cortinarius-orellanus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:794; data/species-gallery-media.ts:804; data/species-media.ts:482; data/species.ts:1040,
boletaires.cat,"Bolet de greix, Múrgola falsa",Gyromitra esculenta,Gyromitra esculenta,covered,gyromitra-esculenta,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:826; data/species-media.ts:494; data/species.ts:652; data/species.ts:1079,
boletaires.cat,"Llora, Carbonera",Russula cyanoxantha,Russula cyanoxantha,covered,russula-cyanoxantha,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/field-guide-sources.ts:72; data/field-guide-sources.ts:77; data/reference-species.ts:184,
boletaires.cat,"Fredolic gros, Xaparrot",Tricholoma portentosum,Tricholoma portentosum,covered,tricholoma-portentosum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:1036; data/species-gallery-media.ts:1046; data/species-media.ts:614; data/species.ts:113; data/species.ts:574; data/species.ts:1257,
boletaires.cat,"Pampa, Pampeta, Platera",Clitocybe geotropa,Clitocybe geotropa,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Mataparent de cama roja, Mataparent",Neoboletus luridiformis,Neoboletus luridiformis,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Bromosa, Griseta, Moixernó de pi",Clitocybe nebularis,Clitocybe nebularis,missing,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Bolet de soca versicolor, Bolet de fusta",Trametes versicolor,Trametes versicolor,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Pipa, Pipa de fageda",Ganoderma lucidum,Ganoderma lucidum,mentioned-only,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,app/bolets-de-soca/page.tsx:56,
boletaires.cat,"Farinera, Farinera grossa",Amanita ovoidea,Amanita ovoidea,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Cualbra retgera, Llora daurada",Russula aurea,Russula aurea,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Llora blanca, Pebràs",Russula delica,Russula delica,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Abró de bedoll, Pinetell de bedoll",Leccinum scabrum,Leccinum scabrum,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Greixa d'avet, Greixa de pi",Sparassis crispa,Sparassis crispa,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,Bolet d'hivern,Flammulina velutipes,Flammulina velutipes,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,Cogoma groga,Amanita citrina,Amanita citrina,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Inocibes, Barrets de bruixa",Inocybe rimosa,Inocybe rimosa,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Abró vermell, Pinetell vermell",Leccinum aurantiacum,Leccinum aurantiacum,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,Do not import the competitor synonym list blindly: its versipelle mapping needs separate taxonomic review.
boletaires.cat,"Lleterola roja, Esclata-sang de llet",Lactarius volemus,Lactarius volemus,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,Cortinari gros,Cortinarius praestans,Cortinarius praestans,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Maneta arrissada, Peu de rata",Ramaria flava,Ramaria flava,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Pebrassa vellutada, Pebràs",Lactarius vellereus,Lactarius vellereus,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Nematoloma rogenc, Bolet de pi rogenc",Hypholoma lateritium,Hypholoma lateritium,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Múrgola, Rabassola",Morchella esculenta,Morchella esculenta,covered,morchella-esculenta,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:508; data/species-gallery-media.ts:518; data/species-media.ts:266; data/species.ts:650; data/species.ts:1100,
boletaires.cat,"Trompeta de la mort, Cornucòpia",Craterellus cornucopioides,Craterellus cornucopioides,covered,craterellus-cornucopioides,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:301; data/species-gallery-media.ts:311; data/species-media.ts:158; data/species.ts:512; data/species.ts:518,
boletaires.cat,"Llengua de bou, Picornell de pi",Hydnum repandum,Hydnum repandum,covered,hydnum-repandum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:323; data/species-gallery-media.ts:333; data/species-media.ts:170; data/species.ts:526,
boletaires.cat,"Gírgola, Orellana",Pleurotus ostreatus,Pleurotus ostreatus,covered,pleurotus-ostreatus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:640; data/species-gallery-media.ts:650; data/species-media.ts:338; data/species.ts:329; data/species.ts:763,
boletaires.cat,"Gírgola de panical, Bolet de card",Pleurotus eryngii,Pleurotus eryngii,covered,pleurotus-eryngii,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:1156; data/species-media.ts:674; data/species.ts:308,
boletaires.cat,"Pimpinella morada, Peu blau",Lepista nuda,Lepista nuda,covered,lepista-nuda,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:530; data/species-gallery-media.ts:540; data/species-media.ts:278; data/species.ts:53; data/species.ts:658,
boletaires.cat,Cogoma d'estepa,Amanita ponderosa,Amanita ponderosa,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Bolet de tinta, Barbuda",Coprinus comatus,Coprinus comatus,covered,coprinus-comatus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:1102; data/species-gallery-media.ts:1112; data/species-media.ts:650; data/species.ts:230,
boletaires.cat,"Pet de llop perlat, Bufa de dimoni",Lycoperdon perlatum,Lycoperdon perlatum,covered,lycoperdon-perlatum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/field-guide-sources.ts:41; data/field-guide-sources.ts:46; data/reference-species.ts:69; data/reference-species.ts:148,
boletaires.cat,Orella de Judes,Auricularia auricula-judae,Auricularia auricula-judae,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Reig bord, Fals reig",Amanita muscaria,Amanita muscaria,covered,amanita-muscaria,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/comparison-pages.ts:57; data/species-gallery-media.ts:59; data/species-gallery-media.ts:69; data/species.ts:43; data/species.ts:605; data/species.ts:1139,
boletaires.cat,"Gírgola d'olivera, Bolet de l'olivera",Omphalotus olearius,Omphalotus olearius,covered,omphalotus-olearius,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:103; data/species-gallery-media.ts:113; data/species.ts:59; data/species.ts:330; data/species.ts:489; data/species.ts:784; data/reference-species.ts:41; app/fals-rossinyol/page.tsx:53,
bolets.info,Reig Bord Groc,Amanita citrina,Amanita citrina,missing,,P3,profile,https://bolets.info/fitxa-bolet/reig-bord-groc/,,
bolets.info,Lepiota brunneo…,Lepiota brunneoincarnata,Lepiota brunneoincarnata,covered,lepiota-brunneoincarnata,covered,profile,https://bolets.info/fitxa-bolet/lepiota-brunneoincarnata/,data/species-gallery-media.ts:750; data/species-gallery-media.ts:760; data/species.ts:551; data/species.ts:962,
bolets.info,Pixacà de garsa,Coprinus picaceus,Coprinus picaceus,missing,,P3,profile,https://bolets.info/fitxa-bolet/pixaca-de-garsa-coprinus-picaceuscoprino-blanco-y-negro/,,
bolets.info,Pixacà,Amanita pantherina,Amanita pantherina,covered,amanita-pantherina,covered,profile,https://bolets.info/fitxa-bolet/pixacaamanita-pantherinaamanita-pantera-galipierno-falso/,data/species-gallery-media.ts:838; data/species-gallery-media.ts:848; data/species-media.ts:506; data/species.ts:45; data/species.ts:1118,
bolets.info,Entoloma rhodopo…,Entoloma rhodopolium,Entoloma rhodopolium,missing,,P3,profile,https://bolets.info/fitxa-bolet/entoloma-rhodopolium/,,
bolets.info,Inocybe geophilla (var),Inocybe geophilla var. lilacina,Inocybe geophilla var. lilacina,unresolved,,hold,profile,https://bolets.info/fitxa-bolet/inocybe-geophilla-var-lilacina/,,Unresolved: misspelled legacy varietal name; establish current taxon before commissioning a species page.
bolets.info,Llenega borda,Cortinarius trivialis,Cortinarius trivialis,missing,,P2,profile,https://bolets.info/fitxa-bolet/llenega-bordacortinarius-trivialiscortinario-trivial/,,
bolets.info,Escaldabec fràgil,Russula fragilis,Russula fragilis,missing,,P3,profile,https://bolets.info/fitxa-bolet/escaldabec-fragil-russula-fragilis/,,
bolets.info,Pinetell bord,Lactarius chrysorrheus,Lactarius chrysorrheus,missing,,P1,profile,https://bolets.info/fitxa-bolet/pinetell-bord-lleterola-de-llet-grogalactarius-chrysorrheuslactario-de-leche-dorada/,,
bolets.info,Lleterola roja,Lactarius rugatus,Lactifluus rugatus,missing,,P1,profile,https://bolets.info/fitxa-bolet/lleterola-rojalactarius-rugatus/,,
bolets.info,Sureny fosc,Boletus aereus,Boletus aereus,covered,boletus-aereus,covered,profile,https://bolets.info/fitxa-bolet/sureny-fosc-boletus-aereusboleto-bronceado/,data/species-gallery-media.ts:169; data/species-gallery-media.ts:179; data/species-media.ts:86; data/species.ts:29; data/species.ts:440; app/zones/ceps/page.tsx:86,
bolets.info,Mataparent amarg,Boletus calopus,Boletus calopus,missing,,P3,profile,https://bolets.info/fitxa-bolet/mataparent-amargboletus-calopuspie-rojo-amargo/,,
bolets.info,Pampa,Clitocybe,Clitocybe,unresolved,,hold,profile,https://bolets.info/fitxa-bolet/pampaclitocybe-gibbacabeza-de-fraile/,data/species-gallery-media.ts:525; data/species-gallery-media.ts:526; data/species-gallery-media.ts:965; data/species-gallery-media.ts:966; data/species-gallery-media.ts:970; data/species-gallery-media.ts:975; data/species-gallery-media.ts:976; data/species-gallery-media.ts:980; data/species-media.ts:573; data/species-media.ts:574; data/species-media.ts:578; data/species.ts:613; data/species.ts:1374; data/species.ts:1450,Unresolved: body gives only a genus; URL says gibba. Do not infer geotropa from the common name Pampa.
bolets.info,Molleric clar,Suillus bellini,Suillus bellinii,missing,,P1,profile,https://bolets.info/fitxa-bolet/molleric-clarsuillus-bellini/,,
bolets.info,Bromosa,Clitocybe nebularis,Clitocybe nebularis,missing,,P1,profile,https://bolets.info/fitxa-bolet/bromosaclitocybe-nebularispardilla/,,
bolets.info,Cigró,Leccinum lepidum,Leccinellum lepidum,missing,,P1,profile,https://bolets.info/fitxa-bolet/cigroleccinum-lepidumfaisan/,,
bolets.info,Bolet Sabonós,Tricholoma saponaceum,Tricholoma saponaceum,missing,,P3,profile,https://bolets.info/fitxa-bolet/tricholoma-saponaceumtricoloma-saponaceo/,,
bolets.info,Tricoloma groc,Tricholoma sejunctum,Tricholoma sejunctum,missing,,P3,profile,https://bolets.info/fitxa-bolet/tricoloma-groctricholoma-sejunctumtricoloma-amarillo/,,
bolets.info,Tricoloma fosc,Tricholoma squarrulosum,Tricholoma squarrulosum,missing,,P3,profile,https://bolets.info/fitxa-bolet/tricholoma-squarrulosum/,,
bolets.info,Cama o Bec de Perdiu,Chroogomphus rutilus,Chroogomphus rutilus,covered,chroogomphus-rutilus,covered,profile,https://bolets.info/fitxa-bolet/cama-o-bec-de-perdiuchroogomphus-rutilus/,data/species-gallery-media.ts:574; data/species-gallery-media.ts:584; data/species-media.ts:302; data/species.ts:674; data/species.ts:1062,
bolets.info,Llengua bou vermellosa,Hydnum rufescens,Hydnum rufescens,mentioned-only,,P2,profile,https://bolets.info/fitxa-bolet/llengua-de-bou-vermellosahydnum-rufescenslengua-de-gato-rojiza/,data/species.ts:528,
bolets.info,Rossinyol Embudat,Cantharellus tubaeformis,Craterellus tubaeformis,covered,craterellus-tubaeformis,covered,profile,https://bolets.info/fitxa-bolet/rossinyol-embudatcantharellus-tubaeformisrebozuelo-atrompetado/,data/species-gallery-media.ts:684; data/species-gallery-media.ts:694; data/species-media.ts:362; data/species.ts:53; data/species.ts:512; data/species.ts:841,
bolets.info,Camagroc,Cantharellus lutescens,Craterellus lutescens,covered,craterellus-lutescens,covered,profile,https://bolets.info/fitxa-bolet/camagroc-rossinyoliccantharellus-lutescensrebozuelo-anaranjado/,data/species-gallery-media.ts:279; data/species-gallery-media.ts:289; data/species-media.ts:146; data/species.ts:497; data/species.ts:502; data/species.ts:510; data/species.ts:862; data/species.ts:1449,
bolets.info,Mataparent,Boletus satanas,Rubroboletus satanas,covered,rubroboletus-satanas,covered,profile,https://bolets.info/fitxa-bolet/mataparentboletus-satanas/,data/species-gallery-media.ts:15; data/species-gallery-media.ts:25; data/species.ts:27; data/species.ts:426; data/species.ts:442; data/species.ts:450,
bolets.info,Rovelló de cabra,Lactarius torminosus,Lactarius torminosus,mentioned-only,,P1,profile,https://bolets.info/fitxa-bolet/rovello-de-cabralactarius-torminosus/,data/species.ts:463,
bolets.info,Cama-sec,Marasmius oreades,Marasmius oreades,covered,marasmius-oreades,covered,profile,https://bolets.info/fitxa-bolet/cama-sec-carreretes-carreloles-correjolesmarasmius-oreades/,data/species-gallery-media.ts:442; data/species-gallery-media.ts:452; data/species-media.ts:230; data/species.ts:611; data/species.ts:1373,
bolets.info,Rovelló,Lactarius sanguifluus,Lactarius sanguifluus,covered,lactarius-sanguifluus,covered,profile,https://bolets.info/fitxa-bolet/rovello-esclata-sang-rovello-de-solell-vinader-lactarius-sanguifluusnizcalo-de-sangre-vinosa/,data/species-gallery-media.ts:235; data/species-gallery-media.ts:245; data/species-media.ts:122; data/species.ts:463; data/species.ts:471; data/species.ts:474; app/zones/rovellons/page.tsx:107; app/preguntes-frequents-bolets/page.tsx:98,
bolets.info,Carlet,Hygrophorus russula,Hygrophorus russula,covered,hygrophorus-russula,covered,profile,https://bolets.info/fitxa-bolet/carlet-escarlethygrophorus-russulahigroforo-escarlata/,data/species-gallery-media.ts:486; data/species-gallery-media.ts:496; data/species-media.ts:254; data/species.ts:629; data/species.ts:634; data/species.ts:642; data/species.ts:1295,
bolets.info,Mocosa,Hygrophorus eburneus,Hygrophorus eburneus,covered,hygrophorus-eburneus,covered,profile,https://bolets.info/fitxa-bolet/mocosa-mocosa-blancahygrophorus-eburneus/,data/species-gallery-media.ts:662; data/species-gallery-media.ts:672; data/species-media.ts:350; data/species.ts:802; data/species.ts:1178,
bolets.info,Pinetell,Lactarius deliciosus,Lactarius deliciosus,covered,lactarius-deliciosus,covered,profile,https://bolets.info/fitxa-bolet/rovello-pinetell-rovello-dobagalactarius-deliciosusnizcalo-miz/,data/species-gallery-media.ts:213; data/species-gallery-media.ts:223; data/species-media.ts:110; data/species.ts:61; data/species.ts:457; data/species.ts:458; data/species.ts:461; data/species.ts:476; data/species.ts:1412; app/zones/rovellons/page.tsx:107; app/preguntes-frequents-bolets/page.tsx:98,
bolets.info,Cua de cavall,Amanita rubescens,Amanita rubescens,mentioned-only,,P1,profile,https://bolets.info/fitxa-bolet/cua-de-cavallamanita-rubescensamanita-rojiza/,data/species.ts:1140,
bolets.info,Molleric clapat,Suillus variegatus,Suillus variegatus,missing,,P3,profile,https://bolets.info/fitxa-bolet/molleric-clapat-mataparent-clapatsuillus-variegatusboleto-variegado/,,
bolets.info,Tòfona negra,Tuber melanosporum,Tuber melanosporum,covered,tuber-melanosporum,covered,profile,https://bolets.info/fitxa-bolet/tofona-negratuber-melanosporum-vittadini/,data/species-gallery-media.ts:706; data/species-gallery-media.ts:716; data/species-media.ts:374; data/species.ts:882,
bolets.info,Cualgra sanguínia,Russula sanguinea,Russula sanguinea,missing,,P3,profile,https://bolets.info/fitxa-bolet/cualgra-sanguiniarussula-sanguinearusula-emetica/,,
bolets.info,Molleric,Suillus granulatus,Suillus granulatus,covered,suillus-granulatus,covered,profile,https://bolets.info/fitxa-bolet/molleric-granellutsuillus-granulatusboleto-granulado/,data/species-gallery-media.ts:1124; data/species-gallery-media.ts:1134; data/species-media.ts:662; data/species.ts:269; data/species.ts:668,
bolets.info,Verderol,Tricholoma auratum,Tricholoma auratum,missing,,hold,profile,https://bolets.info/fitxa-bolet/verderol-canari-groguettricholoma-auratumseta-de-los-caballeros/,,"Verderol species-complex/name-scope issue; editorially group with equestre pending taxonomy, not an additional first-wave page."
bolets.info,Estrelletes,Geastrum rufescens,Geastrum rufescens,missing,,P3,profile,https://bolets.info/fitxa-bolet/estrelletesgeastrum-rufescens/,,
bolets.info,Múrgola,Morchella rotunda,Morchella esculenta,covered,morchella-esculenta,covered,profile,https://bolets.info/fitxa-bolet/morilla-murga-murgola-rabassolamorchella-rotundacolmenilla-redonda/,data/species-gallery-media.ts:508; data/species-gallery-media.ts:518; data/species-media.ts:266; data/species.ts:650; data/species.ts:1100,Folded into Morchella esculenta for this comparison; Index Fungorum record 166368.
bolets.info,Cassoleta blava,Sarcosphaera crassa,Sarcosphaera crassa,missing,,P3,profile,https://bolets.info/fitxa-bolet/cassoleta-blava-sarcosphaera-crassapeziza-estrellada/,,
bolets.info,Estrufària Verda,Stropharia aeruginosa,Stropharia aeruginosa,missing,,P3,profile,https://bolets.info/fitxa-bolet/estrufaria-verdastropharia-aeruginosaestrofaria-verde/,,
